date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:27:33	8945/8945	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Apr%202022%2020:25:47%20GMT	https://themeknit.com/demo/html/authfy/demo/login-03.html	D:/webistess/login/themeknit.com/demo/html/authfy/demo/login-03.html	(from )
21:27:34	113/113	---MCZ	200	added ('OK')	text/plain	etag:%22667-1743976128;gz%22	https://themeknit.com/robots.txt		(from )
21:27:35	157167/157167	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Apr%202025%2015:57:34%20GMT	https://themeknit.com/demo/html/authfy/demo/images/favicon-16x16.png	D:/webistess/login/themeknit.com/demo/html/authfy/demo/images/favicon-16x16.png	(from https://themeknit.com/demo/html/authfy/demo/login-03.html)
21:27:35	8013/8013	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Apr%202022%2020:34:42%20GMT	https://themeknit.com/demo/html/authfy/demo/css/login3-style.css	D:/webistess/login/themeknit.com/demo/html/authfy/demo/css/login3-style.css	(from https://themeknit.com/demo/html/authfy/demo/login-03.html)
21:27:36	7318/7318	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Apr%202022%2020:35:04%20GMT	https://themeknit.com/demo/html/authfy/demo/images/brand-logo-white.png	D:/webistess/login/themeknit.com/demo/html/authfy/demo/images/brand-logo-white.png	(from https://themeknit.com/demo/html/authfy/demo/login-03.html)
21:27:36	85578/85578	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2019%20Apr%202022%2020:35:14%20GMT	https://themeknit.com/demo/html/authfy/demo/js/jquery-2.2.4.min.js	D:/webistess/login/themeknit.com/demo/html/authfy/demo/js/jquery-2.2.4.min.js	(from https://themeknit.com/demo/html/authfy/demo/login-03.html)
21:27:37	37045/37045	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2019%20Apr%202022%2020:35:19%20GMT	https://themeknit.com/demo/html/authfy/demo/js/bootstrap.min.js	D:/webistess/login/themeknit.com/demo/html/authfy/demo/js/bootstrap.min.js	(from https://themeknit.com/demo/html/authfy/demo/login-03.html)
21:27:38	671/671	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2019%20Apr%202022%2020:35:16%20GMT	https://themeknit.com/demo/html/authfy/demo/js/custom.js	D:/webistess/login/themeknit.com/demo/html/authfy/demo/js/custom.js	(from https://themeknit.com/demo/html/authfy/demo/login-03.html)
21:27:39	121200/121200	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Apr%202022%2020:34:42%20GMT	https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css	D:/webistess/login/themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css	(from https://themeknit.com/demo/html/authfy/demo/css/login3-style.css)
21:27:39	21984/21984	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Apr%202022%2020:34:46%20GMT	https://themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css	D:/webistess/login/themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css	(from https://themeknit.com/demo/html/authfy/demo/css/login3-style.css)
